model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestMSE,-10026.388477571254,-21577.729346149477,root_mean_squared_error,0.3436548709869385,0.04495525360107422,23.50886583328247,0.3436548709869385,0.04495525360107422,23.50886583328247,1,True,3
ExtraTreesMSE,-10457.020523828502,-22358.51058262366,root_mean_squared_error,0.29429197311401367,0.036556243896484375,19.874729871749878,0.29429197311401367,0.036556243896484375,19.874729871749878,1,True,5
LightGBMLarge,-12162.918646725937,-21209.850780586614,root_mean_squared_error,0.04192209243774414,0.00566411018371582,8.467797994613647,0.04192209243774414,0.00566411018371582,8.467797994613647,1,True,9
NeuralNetTorch,-16974.34216331185,-22554.392195084474,root_mean_squared_error,0.04039311408996582,0.0067861080169677734,6.792397975921631,0.04039311408996582,0.0067861080169677734,6.792397975921631,1,True,8
LightGBM,-17371.413521844024,-20914.939336484495,root_mean_squared_error,0.02343893051147461,0.0038149356842041016,1.6849462985992432,0.02343893051147461,0.0038149356842041016,1.6849462985992432,1,True,2
XGBoost,-17379.50049476995,-21061.957675115078,root_mean_squared_error,0.0927281379699707,0.009001016616821289,1.2781181335449219,0.0927281379699707,0.009001016616821289,1.2781181335449219,1,True,7
NeuralNetFastAI,-18237.09658195153,-22351.799775847616,root_mean_squared_error,0.126572847366333,0.010676383972167969,5.461672067642212,0.126572847366333,0.010676383972167969,5.461672067642212,1,True,6
LightGBMXT,-18488.533110939916,-20885.902549707436,root_mean_squared_error,0.027529001235961914,0.0041310787200927734,1.7820920944213867,0.027529001235961914,0.0041310787200927734,1.7820920944213867,1,True,1
WeightedEnsemble_L2,-19478.24290699315,-20551.891578799914,root_mean_squared_error,0.09116768836975098,0.015581130981445312,9.135124683380127,0.0010807514190673828,0.000102996826171875,0.0033626556396484375,2,True,10
CatBoost,-19735.501728413947,-20557.64151011815,root_mean_squared_error,0.04969382286071777,0.008692026138305664,2.3393640518188477,0.04969382286071777,0.008692026138305664,2.3393640518188477,1,True,4
